position,count,lng,lat
青浦区凤马塘路205弄,3,0,0
黄浦区蒙自路481弄,6,0,0
松江区外婆泾路299弄,8,0,0
黄浦区五里桥路39弄,15,0,0
普陀区枣阳路465弄,11,0,0
宝山区泗塘五村,25,0,0
杨浦区敦化路163号,1,0,0
金山区龙轩路1998弄,3,0,0
长宁区长宁路405弄,9,0,0
浦东新区顾家圩杨家宅,1,0,0
浦东新区东绣路99弄,2,0,0
宝山区祁连二村,14,0,0
黄浦区徐家汇路101号,5,0,0
松江区龙源路1208弄,3,0,0
嘉定区金园一路1359弄,9,0,0
长宁区天山五村,24,0,0
静安区银都一村,1,0,0
嘉定区伊宁路合作路工地,6,0,0
黄浦区重庆北路212号,9,0,0
黄浦区思南路26弄,4,0,0
浦东新区桃林路299弄,12,0,0
徐汇区梅陇五村,18,0,0
松江区泗陈公路518弄,2,0,0
黄浦区广东路543号,14,0,0
闵行区北翟路3318弄,3,0,0
徐汇区乐山支路4弄,3,0,0
浦东新区临沂路181弄,20,0,0
闵行区北江燕路228弄,10,0,0
杨浦区霍山路1191弄,16,0,0
浦东新区浦东南路3905弄,13,0,0
普陀区祁连山南路999弄,3,0,0
松江区勋业东路300弄,1,0,0
普陀区宜川五村,24,0,0
普陀区新村路349弄,17,0,0
浦东新区浦建路60弄,15,0,0
黄浦区淡水路214弄,20,0,0
闵行区莘建路290弄,6,0,0
嘉定区温宿路45号,8,0,0
青浦区凤强塘路1000弄,2,0,0
虹口区四川北路1006号,1,0,0
静安区沪太路941弄,10,0,0
闵行区江川路街道剑川路综合服务中心工地宿舍,63,0,0
徐汇区田林八村,11,0,0
徐汇区桂林西街11弄,12,0,0
嘉定区南新路170弄,2,0,0
宝山区云西路168弄,6,0,0
宝山区友谊西路富桥路工地宿舍,1,0,0
普陀区古浪路55弄,5,0,0
长宁区番禺路222弄,17,0,0
宝山区淞南四村,15,0,0
黄浦区斜土东路197号,12,0,0
黄浦区静修路50弄,10,0,0
嘉定区鹤友路336弄,11,0,0
嘉定区鹤望路365弄,22,0,0
长宁区华阳路70号,1,0,0
长宁区虹桥路977号,2,0,0
嘉定区金沙江路2823弄,2,0,0
嘉定区安新村,12,0,0
嘉定区连俊村,4,0,0
虹口区四川北路1906弄,26,0,0
虹口区水电路818弄,13,0,0
浦东新区行泰路150弄,8,0,0
浦东新区华鹏路390弄,7,0,0
浦东新区欣莲佳苑,1,0,0
浦东新区新龙路69弄,16,0,0
浦东新区上游村,2,0,0
浦东新区勤丰村,10,0,0
浦东新区惠东村,20,0,0
浦东新区汇南村,16,0,0
浦东新区英雄村,21,0,0
浦东新区城南路110号,1,0,0
浦东新区国展路1756号,1,0,0
浦东新区芳甸路333弄,11,0,0
浦东新区高城路200弄,5,0,0
浦东新区芦云路200弄,6,0,0
浦东新区外灶里灶村,1,0,0
浦东新区三三公路5020弄,30,0,0
浦东新区东靖路2250弄,19,0,0
虹口区辉河路25弄,3,0,0
宝山区罗和路935弄,4,0,0
嘉定区环城路762弄,1,0,0
普陀区武威东路478弄,2,0,0
闵行区北翟路1554弄,15,0,0
闵行区王泥浜村,26,0,0
松江区外婆泾路2999弄,1,0,0
松江区新南街625弄,1,0,0
黄浦区河南南路1001弄,17,0,0
闵行区兰平路301弄,1,0,0
闵行区建设路16弄,1,0,0
青浦区龙联路660弄,6,0,0
虹口区车站北路732弄,17,0,0
嘉定区塔城路470弄,2,0,0
嘉定区双单路德立路工地宿舍,1,0,0
浦东新区国展路1760号,1,0,0
浦东新区永泰路630弄,26,0,0
杨浦区政通路118弄,11,0,0
杨浦区控江路1209号,3,0,0
嘉定区鹤望路365号,2,0,0
嘉定区汇善路1333弄,7,0,0
嘉定区桃园小区,5,0,0
虹口区宝山路888弄,8,0,0
黄浦区瞿溪路904弄,7,0,0
浦东新区东沟六村,1,0,0
浦东新区微山新村,14,0,0
浦东新区俱进路505弄,9,0,0
浦东新区孙环路366弄,4,0,0
浦东新区宣镇东路788弄,7,0,0
浦东新区四灶村,3,0,0
闵行区浦申路1288弄,4,0,0
浦东新区华佗路280弄,1,0,0
浦东新区船厂街27号,1,0,0
浦东新区和佳路105弄,21,0,0
宝山区新村路681号,2,0,0
闵行区闵行区虹莘路3333弄天安豪园,1,0,0
静安区谈家桥路80弄,6,0,0
普陀区定边路377弄,16,0,0
浦东新区临沂一村,2,0,0
黄浦区进贤路158号,1,0,0
浦东新区芳草路258号,11,0,0
虹口区四川北路1906号,1,0,0
浦东新区钱堂村,5,0,0
嘉新公路668弄,1,0,0
嘉定区娄塘路763号,1,0,0
嘉定区塔城路850弄,1,0,0
嘉定区陈周村,1,0,0
闵行区申北路135弄,18,0,0
闵行区联青路51弄,12,0,0
宝山区菊联路89弄,7,0,0
闵行区沪闵路280号,1,0,0
闵行区业祥路111弄,32,0,0
闵行区虹梅南路1728弄,13,0,0
闵行区古美七村,11,0,0
徐汇区龙华西路101号乙,1,0,0
徐汇区田林十三村,10,0,0
徐汇区零陵路231号,2,0,0
徐汇区梅陇十村,19,0,0
静安区芷江西路543弄,1,0,0
闵行区杨家巷村,39,0,0
嘉定区清河路205弄,6,0,0
宝山区华灵路1681弄,9,0,0
普陀区金汤路353弄,12,0,0
徐汇区龙吴路2418弄,36,0,0
徐汇区零陵路250弄,16,0,0
徐汇区龙吴路555弄,14,0,0
静安区万荣路948号,5,0,0
徐汇区长桥七村,13,0,0
徐汇区平江路170弄,3,0,0
徐汇区漕溪路280号,2,0,0
闵行区龙吴路永德小区,1,0,0
闵行区普乐路665弄,11,0,0
徐汇区东安一村,32,0,0
徐汇区零陵路631号,14,0,0
宝山区大华路869弄,3,0,0
黄浦区西藏南路688弄,15,0,0
宝山区环镇北路500弄,10,0,0
浦东新区枣庄路399弄,10,0,0
浦东新区团新村,9,0,0
浦东新区新艺路53号,1,0,0
浦东新区锦绣东郊,2,0,0
浦东新区天花庵村,6,0,0
黄浦区黄陂南路783号,15,0,0
黄浦区济南路181弄,1,0,0
虹口区广中路680弄,8,0,0
浦东新区建光村,1,0,0
浦东新区盛荣路288弄,6,0,0
浦东新区人民西路128弄,1,0,0
浦东新区华夏东路1152弄,12,0,0
浦东新区鹤沙路688弄,14,0,0
浦东新区中心村养正宅,4,0,0
浦东新区德州三村,1,0,0
浦东新区邵村村,8,0,0
